LOCATION,TIME,Housing Value * 1k
USA,2004-Q1,84.80634624
USA,2004-Q2,86.93887074
USA,2004-Q3,89.18338777
USA,2004-Q4,91.39057396
USA,2005-Q1,93.65375642
USA,2005-Q2,96.13625758
USA,2005-Q3,98.67008866
USA,2005-Q4,100.7512832
USA,2006-Q1,102.2398507
USA,2006-Q2,102.9584694
USA,2006-Q3,103.1264582
USA,2006-Q4,103.6070929
USA,2007-Q1,104.2463836
USA,2007-Q2,103.9710686
USA,2007-Q3,102.65049
USA,2007-Q4,100.7839477
USA,2008-Q1,98.46010266
USA,2008-Q2,95.70228651
USA,2008-Q3,93.28978068
USA,2008-Q4,90.56462902
USA,2009-Q1,90.03266449
USA,2009-Q2,88.75874942
USA,2009-Q3,88.34344377
USA,2009-Q4,88.28278115
USA,2010-Q1,87.46616892
USA,2010-Q2,87.04619692
USA,2010-Q3,85.61829211
USA,2010-Q4,84.75968269
USA,2011-Q1,82.89314046
USA,2011-Q2,82.19318712
USA,2011-Q3,82.45450303
USA,2011-Q4,82.60849277
USA,2012-Q1,82.96780215
USA,2012-Q2,84.28838077
USA,2012-Q3,85.32431171
USA,2012-Q4,86.61689221
USA,2013-Q1,88.39010733
USA,2013-Q2,90.18198787
USA,2013-Q3,91.60055996
USA,2013-Q4,92.50583294
USA,2014-Q1,93.63042464
USA,2014-Q2,94.47036864
USA,2014-Q3,95.50629958
USA,2014-Q4,96.74755016
